gene	n.umis	n.tot	efficiency	depth	loss	n.obs
FBtr0078405-M	23	24.2	0.656	5.55	0.051	23
FBtr0078800-M	1	1.09	0.559	5.39	0.0804	1
FBtr0079002-M	2922	3196	0.577	5.18	0.0858	2922
FBtr0079179-M	142	148	0.726	5.82	0.0421	142
FBtr0079219	7	7.47	0.585	5.54	0.0635	7
FBtr0079230	1	1.09	0.559	5.39	0.0804	1
FBtr0079236-M	1757	1900	0.544	5.59	0.0754	1757
FBtr0079291-M	92	98.7	0.494	6.07	0.0675	92
FBtr0079295-M	78	82	0.723	5.5	0.0487	78
FBtr0079299	22	24.5	0.542	5.12	0.103	22
FBtr0079312-M	5	5.33	0.571	5.72	0.0621	5
FBtr0079320-M	2	2.17	0.559	5.39	0.0804	2
FBtr0079323	5	5.67	0.499	5.32	0.118	5
FBtr0079345-M	65	71.2	0.575	5.19	0.0869	65
FBtr0079350	15	16.4	0.51	5.57	0.0848	15
FBtr0079358-M	28	30.9	0.582	5.08	0.0941	28
FBtr0079362	6	6.34	0.614	5.74	0.0542	6
FBtr0079364	19	19.9	0.618	5.95	0.0457	19
FBtr0079365	21	22.8	0.528	5.55	0.0799	21
FBtr0079374-M	7	7.7	0.622	5.09	0.0914	7
FBtr0079389	10	10.5	0.644	5.76	0.0465	10
FBtr0079417	15	15.7	0.615	5.95	0.0462	15
FBtr0079423	111	119	0.436	6.52	0.0655	111
FBtr0079424	29	30	0.69	6.2	0.0323	29
FBtr0079427	25	28.1	0.419	5.56	0.111	25
FBtr0079444-M	76	83.4	0.495	5.47	0.0887	76
FBtr0079451-M	1	1.09	0.559	5.39	0.0804	1
FBtr0079466	153	162	0.647	5.75	0.0543	153
FBtr0079467	28	29.3	0.695	5.62	0.0428	28
FBtr0079468	1	1.09	0.559	5.39	0.0804	1
FBtr0079469	39	42.1	0.559	5.53	0.0737	39
FBtr0079488	45	57.4	0.318	4.48	0.215	45
FBtr0079489-M	60	63.9	0.522	6.12	0.061	60
FBtr0079496	6	7.09	0.488	5.1	0.154	6
FBtr0079540	8	8.42	0.626	5.83	0.0495	8
FBtr0079549	8	8.67	0.558	5.43	0.0773	8
