gene	n.umis	n.tot	efficiency	depth	loss	n.obs
FBtr0304963-M	2189	2435	0.535	4.96	0.101	2189
FBtr0305261	33	34	0.714	6.14	0.0306	33
FBtr0305555-M	60	62.6	0.659	6.02	0.0422	60
FBtr0306114-M	5	5.44	0.559	5.39	0.0804	5
FBtr0306345-M	1	1.09	0.559	5.39	0.0804	1
FBtr0306592-M	142	154	0.512	5.61	0.0796	142
FBtr0306814-M	122	131	0.531	5.75	0.0717	122
FBtr0307033-M	1	1.09	0.559	5.39	0.0804	1
FBtr0307059-M	493	534	0.533	5.59	0.0769	493
FBtr0307068-M	1430	1561	0.581	5.21	0.0837	1430
FBtr0307074-M	1	1.09	0.559	5.39	0.0804	1
FBtr0307092-M	28	31.9	0.436	5.28	0.121	28
FBtr0307093-M	1	1.09	0.559	5.39	0.0804	1
FBtr0307291-M	2	2.17	0.559	5.39	0.0804	2
FBtr0307296-M	683	752	0.523	5.24	0.0915	683
FBtr0308328-M	70	75.4	0.581	5.49	0.0719	70
FBtr0308617-M	133	142	0.615	5.55	0.0652	133
FBtr0309209-M	41	46.9	0.486	4.95	0.125	41
FBtr0309504-M	643	681	0.614	5.93	0.056	643
FBtr0309842-M	2	2.17	0.559	5.39	0.0804	2
FBtr0309960-M	8	8.42	0.63	5.73	0.0501	8
FBtr0310083-M	1	1.09	0.559	5.39	0.0804	1
FBtr0310149	2	2.17	0.559	5.39	0.0804	2
FBtr0310412	37	39.7	0.545	5.74	0.068	37
FBtr0310625-M	25	26.1	0.724	5.44	0.0433	25
FBtr0321259-M	13	21.3	0.426	4.19	0.39	13
FBtr0329925-M	3	3.32	0.556	5.27	0.0963	3
FBtr0329944-M	51	53.7	0.632	5.86	0.0495	51
FBtr0329948-M	9	9.8	0.536	5.49	0.0816	9
FBtr0329967-M	64	68.6	0.553	5.73	0.0676	64
FBtr0329998-M	77	82.2	0.612	5.58	0.0633	77
FBtr0330197-M	51	58.4	0.453	5	0.127	51
FBtr0330225-M	71	73.9	0.774	5.56	0.0393	71
FBtr0330623-M	115	126	0.508	5.37	0.0899	115
FBtr0330658-M	120	124	0.859	5.49	0.034	120
FBtr0331197-M	27	29.6	0.607	5.1	0.0868	27
FBtr0331282-M	7	7.37	0.622	5.96	0.0506	7
FBtr0331325-M	121	128	0.644	5.67	0.0566	121
FBtr0331348-M	4	4.42	0.531	5.37	0.0944	4
FBtr0331632-M	5	5.58	0.567	5.17	0.104	5
FBtr0331645-M	4	4.45	0.597	5.15	0.102	4
FBtr0331669-M	104	116	0.537	4.95	0.106	104
FBtr0331672-M	1	1.09	0.559	5.39	0.0804	1
FBtr0331927-M	6015	6467	0.521	5.88	0.0699	6015
FBtr0331932-M	6478	6936	0.619	5.57	0.066	6478
FBtr0331990-M	36	38.7	0.593	5.48	0.0687	36
FBtr0331995-M	7	7.45	0.611	5.44	0.0608	7
FBtr0332065-M	394	430	0.562	5.28	0.0838	394
FBtr0332102-M	147	168	0.419	5.02	0.123	147
FBtr0332187-M	43	45.7	0.534	6.07	0.0599	43
FBtr0332189-M	60	62.9	0.655	5.91	0.0455	60
FBtr0332194-M	97	103	0.698	5.26	0.0624	97
FBtr0332206-M	1	1.09	0.559	5.39	0.0804	1
FBtr0332315-M	19	20.3	0.632	5.32	0.0655	19
FBtr0332325-M	15	16.2	0.527	5.66	0.0752	15
FBtr0332360-M	7	7.74	0.522	5.38	0.0957	7
FBtr0332410-M	58	61.2	0.571	6.15	0.0521	58
FBtr0332414-M	31	34.5	0.543	5.12	0.1	31
FBtr0332415-M	7	7.82	0.516	5.31	0.105	7
FBtr0332505-M	98	108	0.565	5.18	0.0888	98
FBtr0332522-M	1	1.09	0.559	5.39	0.0804	1
FBtr0332873-M	2795	3005	0.575	5.63	0.0699	2795
FBtr0332882-M	114	125	0.504	5.38	0.0902	114
FBtr0332921-M	78	83.6	0.642	5.35	0.0671	78
FBtr0332966-M	2068	2182	0.695	5.71	0.0523	2068
FBtr0333092-M	2	2.17	0.559	5.39	0.0804	2
FBtr0333094-M	48	52.2	0.6	5.2	0.0813	48
FBtr0333095-M	389	420	0.553	5.58	0.0745	389
FBtr0333098-M	49	51.5	0.66	5.75	0.0479	49
FBtr0333115-M	22	23.1	0.613	5.88	0.0486	22
FBtr0333229-M	29	30.5	0.622	5.79	0.0506	29
FBtr0333305-M	191	208	0.548	5.38	0.0822	191
FBtr0333322-M	139	148	0.509	6.29	0.0597	139
FBtr0333324-M	218	230	0.715	5.54	0.0525	218
FBtr0333335-M	287	312	0.511	5.62	0.0791	287
FBtr0333349-M	6	6.77	0.614	5.03	0.114	6
FBtr0333383-M	2	2.17	0.559	5.39	0.0804	2
FBtr0333414-M	25	29.2	0.47	4.9	0.144	25
FBtr0333415-M	1	1.09	0.559	5.39	0.0804	1
FBtr0333425-M	54	58.1	0.56	5.62	0.0701	54
FBtr0333487-M	148	159	0.588	5.53	0.0702	148
FBtr0333556-M	1	1.09	0.559	5.39	0.0804	1
FBtr0333569-M	571	610	0.616	5.63	0.0641	571
FBtr0334113-M	1634	1813	0.569	4.9	0.0989	1634
FBtr0334157-M	64	67.6	0.623	5.81	0.0533	64
FBtr0334265-M	32	35.2	0.538	5.27	0.0921	32
FBtr0334311-M	757	820	0.568	5.45	0.0768	757
FBtr0334496-M	1	1.09	0.559	5.39	0.0804	1
FBtr0334588-M	1	1.09	0.559	5.39	0.0804	1
FBtr0334646-M	281	2292	0.0723	0.954	0.877	281
FBtr0334686-M	3367	3701	0.619	4.93	0.0903	3367
FBtr0334916-M	2	2.17	0.559	5.39	0.0804	2
FBtr0335138-M	28	31.3	0.521	5.13	0.107	28
FBtr0335142-M	128	140	0.593	5.07	0.0885	128
FBtr0335144-M	1	1.09	0.559	5.39	0.0804	1
FBtr0335152-M	1	1.09	0.559	5.39	0.0804	1
FBtr0335190-M	6	6.36	0.614	5.58	0.0563	6
FBtr0335472-M	1	1.09	0.559	5.39	0.0804	1
FBtr0335503-M	188	198	0.708	5.59	0.0514	188
FBtr0336798-M	165	179	0.447	5.98	0.0779	165
FBtr0336850-M	2	2.17	0.559	5.39	0.0804	2
FBtr0336884-M	4	4.3	0.582	5.4	0.0706	4
FBtr0337001-M	3	3.52	0.521	5.15	0.147	3
FBtr0337004-M	14	16.4	0.497	4.93	0.149	14
FBtr0337091-M	55	58	0.668	5.61	0.0515	55
FBtr0339526-M	11	11.5	0.651	5.67	0.0467	11
FBtr0339599-M	50	53.2	0.521	6.12	0.0609	50
FBtr0339663-M	28	29.6	0.608	5.71	0.0555	28
FBtr0339671-M	101	109	0.528	5.62	0.0764	101
FBtr0339790-M	20	20.9	0.66	5.79	0.0426	20
FBtr0339900-M	222	245	0.576	4.99	0.0947	222
FBtr0339956-M	154	169	0.555	5.24	0.0871	154
FBtr0340246-M	4	4.33	0.574	5.36	0.0763	4
FBtr0340262-M	13	13.8	0.629	5.52	0.055	13
FBtr0340450-M	417	452	0.53	5.57	0.0781	417
FBtr0340541-M	16	17.7	0.459	5.73	0.094	16
FBtr0340545-M	1	1.09	0.559	5.39	0.0804	1
FBtr0340549-M	65	72.7	0.594	4.81	0.106	65
FBtr0342580-M	38	39.9	0.755	5.25	0.0485	38
FBtr0342594-M	7	7.56	0.605	5.27	0.0746	7
FBtr0342602-M	120	139	0.504	4.54	0.138	120
FBtr0342637-M	4459	5050	0.463	4.86	0.117	4459
FBtr0342655-M	18	21.6	0.455	4.85	0.167	18
FBtr0342766-M	101	110	0.626	5.07	0.083	101
FBtr0342979-M	8	8.43	0.618	5.78	0.0509	8
FBtr0343382-M	426	450	0.651	5.85	0.0529	426
FBtr0343403-M	33	34.5	0.617	6.18	0.0423	33
FBtr0343407-M	86	93	0.546	5.56	0.0755	86
FBtr0343421-M	3	3.3	0.588	5.23	0.0899	3
FBtr0343426-M	108	123	0.377	5.29	0.12	108
FBtr0343563-M	2	2.17	0.559	5.39	0.0804	2
FBtr0343569-M	1	1.09	0.559	5.39	0.0804	1
FBtr0343574	5	5.86	0.499	5.13	0.146	5
FBtr0343585-M	33	35.8	0.588	5.31	0.0777	33
FBtr0343607-M	41	42.6	0.748	5.63	0.0373	41
FBtr0343622-M	2	2.17	0.559	5.39	0.0804	2
FBtr0343641-M	1	1.09	0.559	5.39	0.0804	1
FBtr0343687-M	23	25.2	0.553	5.27	0.089	23
FBtr0343722-M	164	187	0.559	4.55	0.125	164
FBtr0343737-M	7	7.68	0.536	5.4	0.0882	7
FBtr0343738-M	2	2.17	0.559	5.39	0.0804	2
FBtr0343747-M	10	11.6	0.451	5.24	0.14	10
FBtr0343774-M	10	11.2	0.559	5.11	0.106	10
FBtr0343775-M	3	3.34	0.521	5.38	0.102	3
FBtr0343814-M	276	295	0.536	5.92	0.0659	276
FBtr0343875-M	93	96.9	0.733	5.77	0.0406	93
FBtr0344007-M	42	47.2	0.443	5.35	0.11	42
FBtr0344082-M	41	45.6	0.479	5.35	0.101	41
FBtr0344131-M	1	1.09	0.559	5.39	0.0804	1
FBtr0344711-M	96	108	0.456	5.13	0.113	96
FBtr0344788-M	12	12.9	0.629	5.28	0.067	12
FBtr0344976-M	82	88	0.648	5.31	0.0681	82
FBtr0344982-M	34	35.8	0.627	5.83	0.0491	34
FBtr0344987-M	21	21.8	0.693	5.95	0.0354	21
FBtr0345332-M	3900	4200	0.666	5.23	0.0715	3900
FBtr0345422-M	59	61.2	0.793	5.52	0.0367	59
FBtr0345615-M	1	1.09	0.559	5.39	0.0804	1
FBtr0345779-M	3	3.23	0.588	5.37	0.071	3
FBtr0345894-M	6017	6370	0.62	5.94	0.0555	6017
FBtr0346117-M	11	12.1	0.6	5.11	0.0914	11
FBtr0346141-M	7	7.41	0.621	5.53	0.0554	7
FBtr0346150-M	1956	2109	0.646	5.27	0.0725	1956
FBtr0346349-M	5718	6145	0.627	5.43	0.0695	5718
FBtr0346420-M	39	42.1	0.548	5.58	0.0737	39
FBtr0346428-M	242	251	0.797	5.84	0.0352	242
FBtr0346441-M	12	12.7	0.655	5.35	0.0564	12
FBtr0346462-M	4	4.26	0.597	5.65	0.0606	4
FBtr0346463-M	151	162	0.691	5.2	0.0669	151
FBtr0346539-M	1372	1470	0.55	5.85	0.0666	1372
FBtr0346541-M	1010	1090	0.612	5.38	0.073	1010
FBtr0346623-M	3	3.22	0.57	5.6	0.067	3
FBtr0347045-M	62	70	0.417	5.33	0.114	62
FBtr0347416-M	1	1.09	0.559	5.39	0.0804	1
