sample	gene	n.umis	n.tot	efficiency	depth	loss	n.obs
	AAC73112	5	5.26041162341614	0.824061886613754	72.1754181522879	0.049504039238478	10
	AAC73113	15	15.7812348702484	0.824061886613754	71.4749112842028	0.049504039238478	30
	AAC73114	6	6.31249394809937	0.824061886613754	71.4167662687987	0.049504039238478	12
	AAC73115	7	7.36457627278259	0.824061886613754	70.804102370073	0.049504039238478	14
	AAC73117	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73119	69	72.5936804031427	0.824061886613754	73.5970454301063	0.049504039238478	138
	AAC73120	5	5.26041162341614	0.824061886613754	72.6314620949589	0.049504039238478	10
	AAC73121	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73125	415	436.61416474354	0.824061886613754	74.7644154616939	0.049504039238478	830
	AAC73126	55	57.8645278575775	0.824061886613754	69.5138334065056	0.049504039238478	110
	AAC73130	3	3.15624697404968	0.824061886613754	72.2497390670154	0.049504039238478	6
	AAC73134	28	29.4583050911304	0.824061886613754	77.512944547422	0.049504039238478	56
	AAC73136	12	12.6249878961987	0.824061886613754	70.3902259506748	0.049504039238478	24
	AAC73137	83	87.3228329487079	0.824061886613754	69.5054970189347	0.049504039238478	166
	AAC73138	5	5.26041162341614	0.824061886613754	72.1473062151563	0.049504039238478	10
	AAC73139	15	15.7812348702484	0.824061886613754	66.2720123956397	0.049504039238478	30
	AAC73140	8	8.41665859746582	0.824061886613754	71.8825768658818	0.049504039238478	16
	AAC73141	4	4.20832929873291	0.824061886613754	72.9461583504271	0.049504039238478	8
	AAC73142	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73143	27	28.4062227664471	0.824061886613754	72.6850511697446	0.049504039238478	54
	AAC73144	49	51.5520339094782	0.824061886613754	70.8659114407211	0.049504039238478	98
	AAC73150	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73151	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73157	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73158	3	3.15624697404968	0.824061886613754	70.0291489406354	0.049504039238478	6
	AAC73159	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73160	3	3.15624697404968	0.824061886613754	73.4169021561555	0.049504039238478	6
	AAC73161	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73162	14	14.7291525455652	0.824061886613754	73.9294807050047	0.049504039238478	28
	AAC73163	14	14.7291525455652	0.824061886613754	72.0462285484675	0.049504039238478	28
	AAC73164	30	31.5624697404968	0.824061886613754	70.8232320231133	0.049504039238478	60
	AAC73165	28	29.4583050911304	0.824061886613754	77.6547725338455	0.049504039238478	56
	AAC73166	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73170	12	12.6249878961987	0.824061886613754	73.2274936125024	0.049504039238478	24
	AAC73171	3	3.15624697404968	0.824061886613754	74.0465032375121	0.049504039238478	6
	AAC73174	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73175	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73176	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73178	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73179	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73180	3	3.15624697404968	0.824061886613754	69.9611084451257	0.049504039238478	6
	AAC73182	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73183	7	7.36457627278259	0.824061886613754	72.819595126552	0.049504039238478	14
	AAC73184	3	3.15624697404968	0.824061886613754	73.0442817235425	0.049504039238478	6
	AAC73185	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73186	1	1.05208232468323	0.824061886613754	72.5573352907736	0.049504039238478	2
	AAC73189	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73191	10	10.5208232468323	0.824061886613754	72.8357296052101	0.049504039238478	20
	AAC73192	7	7.36457627278259	0.824061886613754	73.3262783488314	0.049504039238478	14
	AAC73193	9	9.46874092214905	0.824061886613754	70.4338936745353	0.049504039238478	18
	AAC73194	3	3.15624697404968	0.824061886613754	72.0201900825189	0.049504039238478	6
	AAC73195	11	11.5729055715155	0.824061886613754	74.9553961660097	0.049504039238478	22
	AAC73196	12	12.6249878961987	0.824061886613754	74.1105849939297	0.049504039238478	24
	AAC73197	19	19.9895641689813	0.824061886613754	70.8702085663904	0.049504039238478	38
	AAC73198	6	6.31249394809937	0.824061886613754	73.7543307548694	0.049504039238478	12
	AAC73199	9	9.46874092214905	0.824061886613754	68.8500552860523	0.049504039238478	18
	AAC73200	2	2.10416464936646	0.824061886613754	72.5573352907736	0.049504039238478	4
	AAC73201	5	5.26041162341614	0.824061886613754	74.680585166209	0.049504039238478	10
	AAC73202	8	8.41665859746582	0.824061886613754	70.7452646420173	0.049504039238478	16
	AAC73203	6	6.31249394809937	0.824061886613754	72.8719338777477	0.049504039238478	12
	AAC73204	11	11.5729055715155	0.824061886613754	72.5181894744974	0.049504039238478	22
	AAC73205	7	7.36457627278259	0.824061886613754	70.6951776419376	0.049504039238478	14
	AAC73206	11	11.5729055715155	0.824061886613754	68.6468961217865	0.049504039238478	22
	AAC73207	37	38.9270460132794	0.824061886613754	73.3576288654679	0.049504039238478	74
