sample	gene	n.umis	n.tot	efficiency	depth	loss	n.obs
	AAC73112	  5	  5.26	0.824	72.2	0.0495	 10
	AAC73113	 15	 15.78	0.824	71.5	0.0495	 30
	AAC73114	  6	  6.31	0.824	71.4	0.0495	 12
	AAC73115	  7	  7.36	0.824	70.8	0.0495	 14
	AAC73117	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73119	 69	 72.59	0.824	73.6	0.0495	138
	AAC73120	  5	  5.26	0.824	72.6	0.0495	 10
	AAC73121	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73125	415	436.61	0.824	74.8	0.0495	830
	AAC73126	 55	 57.86	0.824	69.5	0.0495	110
	AAC73130	  3	  3.16	0.824	72.2	0.0495	  6
	AAC73134	 28	 29.46	0.824	77.5	0.0495	 56
	AAC73136	 12	 12.62	0.824	70.4	0.0495	 24
	AAC73137	 83	 87.32	0.824	69.5	0.0495	166
	AAC73138	  5	  5.26	0.824	72.1	0.0495	 10
	AAC73139	 15	 15.78	0.824	66.3	0.0495	 30
	AAC73140	  8	  8.42	0.824	71.9	0.0495	 16
	AAC73141	  4	  4.21	0.824	72.9	0.0495	  8
	AAC73142	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73143	 27	 28.41	0.824	72.7	0.0495	 54
	AAC73144	 49	 51.55	0.824	70.9	0.0495	 98
	AAC73150	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73151	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73157	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73158	  3	  3.16	0.824	70.0	0.0495	  6
	AAC73159	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73160	  3	  3.16	0.824	73.4	0.0495	  6
	AAC73161	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73162	 14	 14.73	0.824	73.9	0.0495	 28
	AAC73163	 14	 14.73	0.824	72.0	0.0495	 28
	AAC73164	 30	 31.56	0.824	70.8	0.0495	 60
	AAC73165	 28	 29.46	0.824	77.7	0.0495	 56
	AAC73166	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73170	 12	 12.62	0.824	73.2	0.0495	 24
	AAC73171	  3	  3.16	0.824	74.0	0.0495	  6
	AAC73174	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73175	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73176	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73178	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73179	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73180	  3	  3.16	0.824	70.0	0.0495	  6
	AAC73182	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73183	  7	  7.36	0.824	72.8	0.0495	 14
	AAC73184	  3	  3.16	0.824	73.0	0.0495	  6
	AAC73185	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73186	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73189	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73191	 10	 10.52	0.824	72.8	0.0495	 20
	AAC73192	  7	  7.36	0.824	73.3	0.0495	 14
	AAC73193	  9	  9.47	0.824	70.4	0.0495	 18
	AAC73194	  3	  3.16	0.824	72.0	0.0495	  6
	AAC73195	 11	 11.57	0.824	75.0	0.0495	 22
	AAC73196	 12	 12.62	0.824	74.1	0.0495	 24
	AAC73197	 19	 19.99	0.824	70.9	0.0495	 38
	AAC73198	  6	  6.31	0.824	73.8	0.0495	 12
	AAC73199	  9	  9.47	0.824	68.8	0.0495	 18
	AAC73200	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73201	  5	  5.26	0.824	74.7	0.0495	 10
	AAC73202	  8	  8.42	0.824	70.7	0.0495	 16
	AAC73203	  6	  6.31	0.824	72.9	0.0495	 12
	AAC73204	 11	 11.57	0.824	72.5	0.0495	 22
	AAC73205	  7	  7.36	0.824	70.7	0.0495	 14
	AAC73206	 11	 11.57	0.824	68.6	0.0495	 22
	AAC73207	 37	 38.93	0.824	73.4	0.0495	 74
	AAC73208	 11	 11.57	0.824	67.9	0.0495	 22
	AAC73209	 42	 44.19	0.824	71.9	0.0495	 84
	AAC73210	  1	  1.05	0.824	72.6	0.0495	  2
	AAC73212	  2	  2.10	0.824	72.6	0.0495	  4
	AAC73213	  3	  3.16	0.824	73.6	0.0495	  6
	AAC73214	  4	  4.21	0.824	72.8	0.0495	  8
	ACO59989	 11	 11.57	0.824	75.0	0.0495	 22
